"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"286","RT @Txtbyreyy: Sesudah gua di suntik vaksin, semoga dapet armor Titan.",FALSE,0,NA,2021-01-16 16:03:47,FALSE,NA,"1350473836559437825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arikadaniarmrtn",56,TRUE,FALSE,NA,NA
"287","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 16:00:24,FALSE,NA,"1350472982355873792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","justjall",58,TRUE,FALSE,NA,NA
"288","@ahmdlna vaksin duls buat ngaktifin zat yg bikin jd titan wkwk",FALSE,0,"ahmdlna",2021-01-16 15:54:38,FALSE,"1350470296357068805","1350471531273482243","1102794516933763072","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stannyuriska",0,FALSE,FALSE,NA,NA
"289","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 15:50:29,FALSE,NA,"1350470487453827072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","alahhalahhalah",58,TRUE,FALSE,NA,NA
"290","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 15:46:01,FALSE,NA,"1350469361757167618",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","joloapm",58,TRUE,FALSE,NA,NA
"291","RT @suprek09: Kalo disuntik vaksin jadi titan aku mau deh. Bosan juga jadi manusia gni2 aja. Berhasil kagak. Capek menuhin tuntutsn idup id…",FALSE,0,NA,2021-01-16 15:39:58,FALSE,NA,"1350467840189505537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wikerulita",4,TRUE,FALSE,NA,NA
"292","RT @podcastretropus: Emang bener ya abis disuntik vaksin bisa berubah jadi Titan?

#KomikMasMas https://t.co/oMXveFLkr1",FALSE,0,NA,2021-01-16 15:39:52,FALSE,NA,"1350467814268649473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amirulhudaa",46,TRUE,FALSE,NA,NA
"293","RT @Txtbyreyy: Sesudah gua di suntik vaksin, semoga dapet armor Titan.",FALSE,0,NA,2021-01-16 15:39:25,FALSE,NA,"1350467703069261827",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MASADEPANMU09",56,TRUE,FALSE,NA,NA
"294","RT @Txtbyreyy: Sesudah gua di suntik vaksin, semoga dapet armor Titan.",FALSE,0,NA,2021-01-16 15:37:13,FALSE,NA,"1350467148070612994",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ilhammazizz",56,TRUE,FALSE,NA,NA
"295","RT @podcastretropus: Emang bener ya abis disuntik vaksin bisa berubah jadi Titan?

#KomikMasMas https://t.co/oMXveFLkr1",FALSE,0,NA,2021-01-16 15:36:52,FALSE,NA,"1350467062343163912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","meretweettweet",46,TRUE,FALSE,NA,NA
"296","@word2trash Bengek hyungg, jokowi jadi Titan abis vaksin. <U+0001F62D> https://t.co/DSq42M9HPn",FALSE,2,"word2trash",2021-01-16 15:26:54,FALSE,"1350419850770829313","1350464553952243712","1107212320646717440","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KatsuraaDa",0,FALSE,FALSE,NA,NA
"297","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 15:25:53,FALSE,NA,"1350464295507693568",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","askaradid",58,TRUE,FALSE,NA,NA
"298","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 15:24:16,FALSE,NA,"1350463888794349568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bellalebelle",58,TRUE,FALSE,NA,NA
"299","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 15:18:51,FALSE,NA,"1350462526123765761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pangemananar",58,TRUE,FALSE,NA,NA
"300","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 15:17:28,FALSE,NA,"1350462178344595456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ilysmtihm",58,TRUE,FALSE,NA,NA
"301","RT @podcastretropus: Emang bener ya abis disuntik vaksin bisa berubah jadi Titan?

#KomikMasMas https://t.co/oMXveFLkr1",FALSE,0,NA,2021-01-16 15:17:06,FALSE,NA,"1350462087542149120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","baguswahyu183",46,TRUE,FALSE,NA,NA
"302","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 15:15:38,FALSE,NA,"1350461718594420736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NgidolSinchan",58,TRUE,FALSE,NA,NA
"303","RT @podcastretropus: Emang bener ya abis disuntik vaksin bisa berubah jadi Titan?

#KomikMasMas https://t.co/oMXveFLkr1",FALSE,0,NA,2021-01-16 15:10:47,FALSE,NA,"1350460496969822208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LecelPele",46,TRUE,FALSE,NA,NA
"304","RT @suprek09: Kalo disuntik vaksin jadi titan aku mau deh. Bosan juga jadi manusia gni2 aja. Berhasil kagak. Capek menuhin tuntutsn idup id…",FALSE,0,NA,2021-01-16 15:10:04,FALSE,NA,"1350460316182745089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RA_Prabowow",4,TRUE,FALSE,NA,NA
"305","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 15:09:48,FALSE,NA,"1350460249778515969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cruelandcold23",58,TRUE,FALSE,NA,NA
"306","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 15:08:17,FALSE,NA,"1350459866049966081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RadifanHaf",58,TRUE,FALSE,NA,NA
